Product_Name,Stock_Quantity,Unit_Price,Sales_Volume,Total_Inventory_Value,Revenue_90_Discount,Best_Seller
Sushi Rice,22,$4.50,32,$99.00,$129.60,No
Arabica Coffee,45,$20.00,85,$900.00,$1530.00,No
Black Rice,30,$6.00,31,$180.00,$167.40,No
Long Grain Rice,12,$1.50,95,$18.00,$128.25,No
Plum,37,$4.00,62,$148.00,$223.20,No
All-Purpose Flour,55,$1.75,34,$96.25,$53.55,No
Corn Oil,96,$2.50,67,$240.00,$150.75,No
Egg (Goose),44,$2.50,21,$110.00,$47.25,No
Greek Yogurt,91,$3.00,56,$273.00,$151.20,No
Egg (Duck),43,$1.00,27,$43.00,$24.30,No
Long Grain Rice,62,$1.60,100,$99.20,$144.00,Yes
White Sugar,91,$2.00,100,$182.00,$180.00,Yes
Rye Bread,26,$3.00,47,$78.00,$126.90,No
Plum,95,$4.00,69,$380.00,$248.40,No
Strawberries,54,$6.00,63,$324.00,$340.20,No
Feta Cheese,94,$7.00,20,$658.00,$126.00,No
Bread Flour,27,$1.50,66,$40.50,$89.10,No
Swiss Cheese,49,$8.00,78,$392.00,$561.60,No
Arabica Coffee,55,$20.00,46,$1100.00,$828.00,No
White Sugar,65,$2.00,29,$130.00,$52.20,No
Spinach,72,$2.50,82,$180.00,$184.50,No
Trout,49,$12.00,52,$588.00,$561.60,No
Green Beans,81,$2.00,20,$162.00,$36.00,No
Cabbage,88,$1.00,73,$88.00,$65.70,No
Parmesan Cheese,63,$12.00,59,$756.00,$637.20,No
Raw Sugar,31,$1.50,46,$46.50,$62.10,No
Egg (Quail),97,$0.80,97,$77.60,$69.84,No
Mushrooms,72,$6.00,94,$432.00,$507.60,No
Oatmeal Biscuit,16,$5.00,50,$80.00,$225.00,No
Pear,77,$4.50,61,$346.50,$247.05,No
Cucumber,19,$1.75,31,$33.25,$48.83,No
Pineapple,18,$3.50,42,$63.00,$132.30,No
Olive Oil,47,$6.00,42,$282.00,$226.80,No
Herbal Tea,77,$30.00,25,$2310.00,$675.00,No
Haddock,46,$9.00,65,$414.00,$526.50,No
Onion,39,$2.00,60,$78.00,$108.00,No
Sushi Rice,75,$4.50,43,$337.50,$174.15,No
Pineapple,48,$3.45,51,$165.60,$158.36,No
Zucchini,61,$2.50,79,$152.50,$177.75,No
Short Grain Rice,60,$3.00,47,$180.00,$126.90,No
Mango,24,$5.00,39,$120.00,$175.50,No
Lemon,12,$2.30,66,$27.60,$136.62,No
Black Coffee,84,$15.00,25,$1260.00,$337.50,No
Butter,51,$3.00,40,$153.00,$108.00,No
Multigrain Bread,65,$3.50,32,$227.50,$100.80,No
Long Grain Rice,67,$1.50,66,$100.50,$89.10,No
Bread Flour,14,$1.50,37,$21.00,$49.95,No
Kiwi,45,$6.00,44,$270.00,$237.60,No
Mango,92,$5.00,24,$460.00,$108.00,No
Sourdough Bread,41,$4.00,42,$164.00,$151.20,No
Short Grain Rice,41,$4.50,38,$184.50,$153.90,No
Orange,85,$3.00,95,$255.00,$256.50,No
Pineapple,44,$3.40,96,$149.60,$293.76,No
White Bread,92,$2.50,61,$230.00,$137.25,No
Green Coffee,62,$12.00,35,$744.00,$378.00,No
Zucchini,26,$2.50,57,$65.00,$128.25,No
Sourdough Bread,59,$4.50,32,$265.50,$129.60,No
Orange,88,$2.90,63,$255.20,$164.43,No
Sardines,91,$6.00,30,$546.00,$162.00,No
Olive Oil,28,$6.00,38,$168.00,$205.20,No
Carrot,51,$1.50,44,$76.50,$59.40,No
Black Tea,46,$5.00,64,$230.00,$288.00,No
